电影名称,上映日期
蒼鷺與少年,THE BOY AND THE HERON,2023-10-06
女鬼橋2：怨鬼樓,THE BRIDGE CURSE RITUAL,2023-10-13
花月殺手,KILLERS OF THE FLOWER MOON,2023-10-20
周處除三害,THE PIG THE SNAKE AND THE PIGEON,2023-10-06
汪汪隊立大功：超級大電影,PAW PATROL THE MIGHTY MOVIE,2023-09-29
新片神秘場,SKY FILMS INTERNATIONAL,2023-10-25
羽生結弦 ICE STORY 2ND RE_PRAY 巡演 現場直播,YUZURU HANYU ICE STORY 2ND RE PRAY TOUR LIVE,2023-11-04
TAYLOR SWIFT THE ERAS TOUR,TAYLOR SWIFT THE ERAS TOUR,2023-11-03
天元突破劇場版 紅蓮螺巖 螺巖篇,GURREN LAGANN THE MOVIE THE LIGHTS IN THE SKY,2023-10-20
天元突破劇場版 紅蓮螺巖 紅蓮篇,GURREN LAGANN THE MOVIE CHILDHOODS END,2023-10-13
大雄之宇宙英雄記 - 電影哆啦A夢,NOBITA AND THE SPACE HEROES,2023-10-13
劇場版 PSYCHO - PASS 心靈判官 PROVIDENCE,PSYCHO PASS PROVIDENCE,2023-09-28
DAY 2劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PE,DAY 2 IDOLiSH7 THE MOVIE LIVE 4bit BEYOND THE,2023-09-22
DAY 1劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PE,DAY 1 IDOLiSH7 THE MOVIE LIVE 4bit BEYOND THE,2023-09-22
特別篇 吹響吧！上低音號～合奏團競賽篇～,SOUND EUPHONIUM SPECIAL FEATURE ENSEMBLE CONT,2023-10-20
誆世巨作：蜘蛛窩新宇宙,COBWEB,2023-10-20
詐騙女王,MISS FORTUNE,2023-10-20
杜巴利伯爵夫人,JEANNE DU BARRY,2023-10-20
劇場版城市獵人天使之淚,CITY HUNTER THE MOVIE ANGEL DUST,2023-10-20
換宿夜驚魂,THE CUCKOOS CURSE,2023-10-20
